Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
390,MAS,574599106,320.8,0.8,0.5,254.4
391,MAT,577081102,1618.2,0.3,0.1,460.1
392,MXWL,577767106,-5.1,0.1,0,-11.3
393,MAYS,578473100,23.4,0.2,0.3,1
394,MKC,579780206,-3718.7,0.3,0.1,279.5
395,MDR,580037109,4258.5,0.1,0.3,65.5
396,MCD,580135101,-17555.6,0.6,0.2,3528.1
397,MGRC,580589109,-523.5,0.4,0.4,36.2
398,SPGI,78409V104,-437.2,0.2,0.1,729
399,MCRAA,582757209,77.7,0,0.1,3.6
400,MKTY,583538202,-152.8,0,0,-5
401,GENC,368678108,49.4,0.3,0.8,7
402,MDT,G5960L103,-1190,0.3,0.1,2481.2
403,PSSR,70285Y104,-6.8,-1.3,2.1,-0.1
404,CVS,126650100,-27526.3,0.2,0.1,2563.7
405,MRK,58933Y105,20758.1,0.2,0.1,6313.4
406,MDP,589433101,-570.5,0.3,0.2,95.2
407,MLAB,59064R109,94.6,0.1,0,5.2
408,MSB,590672101,8.1,0,0,18
409,MEI,591520200,993.2,0,0,26.5
410,EVI,29414M100,12.2,0,0,0.7
411,MXC,592770101,-12.8,0.2,0.2,0.2
412,SIEB,826176109,-103,0,0,-0.6
413,MU,595112103,25158.8,0.2,0.3,237.3
414,MPAD,595135104,74.3,0,0,1.3
415,MSCC,595137100,8279.7,0.2,0.1,21.7
416,MFCO,595176108,5,0,0.1,0
417,MSEX,596680108,-18.5,0.5,0.5,11.6
418,MKRS,598626307,14.8,0,0,0.1
419,MLHR,600544100,-115.6,0.5,0.2,70.1
420,MLLS,600548200,8.2,4.3,7.5,0.1
421,MSA,553498106,7.3,0.2,0.2,62.5
422,MMM,88579Y101,-11512.5,0.2,0.1,3477.4
423,MOD,607828100,2817.7,0.2,0.4,12.7
424,MCEM,609031307,-3,0.1,0.3,7.7
425,QDEL,74838J101,1058.6,0.2,0.1,5.2
426,MOG.A,615394202,1335.9,0.4,0.5,90.6
427,MSI,620076307,1037.5,0.3,0.2,431
428,MUR,626717102,-673.6,0.2,0.2,560.2
429,INTG,458685104,-4.7,2.1,2.7,0.6
430,MYE,628464109,9.2,0.5,0.5,7.4
431,NCR,6.29E+112,-3650,0.2,0.2,168.2
432,NL,629156407,741.6,0.1,0.1,52.6
433,BMRA,09061H307,7.8,0,0,-0.1
434,NANO,630077105,-229.5,0,0.1,-5.4
435,NSSC,630402105,-34,0.4,0.5,1.4
436,NATH,632347100,284.4,-0.3,0.1,4.1
437,NHC,635906100,130.5,0.1,0.1,38.6
438,THC,88033G407,10653.3,1.2,2.6,-198.1
439,GPX,36225V104,64.7,0.1,0.1,8.5
440,NPK,637215104,316,0,0,31.8
441,HLNFF,429695109,-332.2,0.4,0.6,14.5
442,NATR,639027101,257.9,0,0,8.9
443,CRMZ,225426105,42.3,0.1,0.2,0.3
444,NULM,649060100,-75.3,0.5,0.8,5.1
445,NYT,650111107,1269.6,0.3,0.3,124.2
446,NWL,651229106,46055.5,0.6,0.4,229.9
447,NEM,651639106,6794.9,0.3,0.3,319.2
448,NR,651718504,398.3,0.4,0.4,21.8
449,NKE,654106103,7815.6,0.1,0,1788.2
450,NOBH,654892108,62.9,0,0,2
451,NBL,655044105,1410.7,0.3,0.3,387
452,NROM,655107100,-2.4,1.3,0.4,0.8
453,NDSN,655663102,-409.2,0.3,0.1,107
454,JWN,655664100,434.9,0.5,0.3,489
455,NSC,655844108,3918.8,0.4,0.6,1254.2
456,NC,629579103,96.9,0.4,0.9,25.3
457,MOV,624580106,1142.8,0.1,0.1,24
458,NOC,666807102,8306.7,0.2,0.3,1298.4
459,TEX,880779103,1656.2,0.5,1,146.9
460,NEWT,652526203,-150.7,0.4,0.7,5.4
461,OXY,674599105,19106.2,0.2,0.2,2939.5
462,OBCI,674631106,-1.5,0.3,0.5,0.7
463,OII,675232102,1517,0.2,0.1,166.6
464,ITI,46564T107,-71.9,0.1,0.1,-4.3
465,BRS,110394103,1145.3,0.4,0.5,76.1
466,ODC,677864100,70.4,0.3,0.3,6.7
467,OLN,680665205,563.7,0.3,0.4,86.1
468,ORBK,M75253100,256.7,0.1,0.1,12.8
469,ORBT,685559304,-16.5,0.1,0.3,0
470,OSG,69036R863,-1345.3,0.6,1.2,52.5
471,OMI,690732102,222.7,0.3,0.3,76.1
472,OC,690742101,-7000,0.3,2.3,144.9
473,OI,690768403,-604.4,0.9,1.8,4.2
474,OXM,691497309,771.9,0.3,0.3,20
475,PFIN,692830508,-111.9,0.2,0.7,0.9
476,PPG,693506107,2756.2,0.3,0.2,917.1
477,PCAR,693718108,3408.8,0.3,0.3,884.5
478,UWN,64126Q206,16.6,0.8,0.6,1.7
479,PAR,698884103,-7.7,0,0.1,-0.7
480,PARF,699058103,51.2,0,0.1,0.7
481,PKE,700416209,476.1,0.1,0.1,12.2
482,PKD,701081101,250.1,0.9,1.3,-2
483,PH,701094104,3010.5,0.2,0.2,669
484,PATK,703343103,432.5,0.4,1,3
485,GDP,382410843,356,0.8,2.3,-90.7
486,PAYX,704326107,-540.8,0,0,484.6
487,PVAC,70788V102,135.1,0.3,4.1,-127.2
488,JCP,708160106,7187.5,0.5,1,9.3
489,PNR,G7S00T104,-1908.9,0.4,0.3,141
490,PEP,713448108,52662.5,0.3,0.1,5003.1
491,TPC,901109108,-169.5,0.1,0.4,32.7
492,PDCE,69327R101,7689.8,0.3,0.4,24.4
493,PHIIK,69336T205,927.4,0.6,1,15
494,PFE,717081103,-12418.8,0.1,0.1,9946.9
495,WTR,03836W103,-350.7,0.5,0.4,120.7
496,MO,02209S103,-60693.8,0.4,0.2,7093.2
497,COP,20825C104,9300,0.3,0.3,5546.3
498,PVH,693656100,1307.2,0.4,0.4,175.6
499,PIR,720279108,466.1,0.1,0.7,44.9
500,AGYS,00847J105,-101.7,0.2,0.2,-5
501,PBI,724479100,8088.4,0.8,0.7,415.4
502,PW,73933H101,3.9,0.1,0.1,0.4
503,PLT,727493108,1904.8,0.1,0,70.1
504,KGC,496902404,5900.6,0.1,0.3,-634.6
505,POLXF,731728200,2.6,0.2,0.5,-0.3
506,PCH,737630103,-1237,0.7,0.4,40.6
507,POWL,739128106,464.6,0.1,0.1,16.7
508,PG,742718109,-33386.7,0.3,0.1,8671.9
509,PHM,745867101,5867.5,0.5,0.7,144.4
510,PCYO,746228303,224.9,0.1,0.1,-5
511,AGX,4.01E+112,950.8,0,0.1,9.2
